Type,Grain,Origin,Lat,Long,Island,Name,DBD,Org_C_Per,Species,Crown_ras,Com_Ras,Sample_yr,Org_C_Bin,DBD_Avg,SampleType,geometry
Hetero,Lagoon,Man-made,5.878507979,-162.083891,S. Fighter,SOU-PG1,0.845237,3.93473,Heliotropium,Heliotropium foertherianum,Heliotropium-Scaevola,2016,Low,1,Soil,"c(822932.303921783, 650616.830840698)"
Hetero,Lagoon,Man-made,5.877664005,-162.079686,S. Fighter,SOU-ST5,0.71518,5.57473,Pandanus,Pandanus tectorius,Pandanus,2016,Low,1,Soil,"c(823398.854600664, 650525.850310625)"
Homo,Lagoon,Natural,5.890041991,-162.0973502,Strawn,STR-CN2,1.302249,3.53473,Cocos,Hernandia nymphaeifolia,Pandanus,2016,Low,1,Soil,"c(821433.924214559, 651885.669616141)"
Hetero,Windward,Natural,5.890441991,-162.0985502,Strawn,STR-NO1,1.21368,1.47473,Cocos,Cocos nucifera,Cocos,2016,Low,1,Soil,"c(821300.696153339, 651929.250354534)"
Hetero,Windward,Natural,5.890226969,-162.095113,Strawn,STR-PF4,1.583598,3.05473,Cocos,Pandanus tectorius,Pandanus,2016,Low,1,Soil,"c(821681.770171865, 651907.43401066)"
Hetero,Windward,Natural,5.890424028,-162.096747,Strawn,STR-PG2,1.739867,1.23473,Cocos,Cocos nucifera,Cocos,2016,Low,1,Soil,"c(821500.557746244, 651928.302034507)"
Hetero,Leeward,Natural,5.889738975,-162.09779,Strawn,STR-ST2,1.702687,2.31473,Scaevola,Pandanus tectorius,Pandanus,2016,Low,1,Soil,"c(821385.354990797, 651851.877697815)"
Homo,Windward,Natural,5.886329514,-162.0589205,Whipporwill,WHI-CN5,1.492799,2.17473,Cocos,Pisonia grandis,Pisonia,2016,Low,1,Soil,"c(825695.384719597, 651497.062076785)"
Hetero,Windward,Natural,5.886129514,-162.0593205,Whipporwill,WHI-NO5,1.210508,1.64473,Pisonia,Cocos nucifera,Pisonia,2016,Low,1,Soil,"c(825651.166941318, 651474.691419824)"
Homo,Windward,Natural,5.88599897,-162.059044,Whipporwill,WHI-PF3,2.092024,1.53473,Pandanus,Pandanus tectorius,Pisonia,2016,Low,1,Soil,"c(825681.889232975, 651460.403561697)"
Homo,Windward,Natural,5.886216983,-162.059388,Whipporwill,WHI-PG2,1.159757,2.76473,Pisonia,Pandanus tectorius,Pisonia,2016,Low,1,Soil,"c(825643.634507041, 651484.333544809)"
Hetero,Windward,Natural,5.886486964,-162.056914,Whipporwill,WHI-ST2,0.520786,15.52473,Heliotropium,Heliotropium foertherianum,Heliotropium-Scaevola,2016,Med,0.427,Soil,"c(825917.685507483, 651515.661720233)"
